geography code,reception_4yrs_5yrs_old_% obese,reception_4yrs_5yrs_old_Number measured,reception_4yrs_5yrs_old_Number obese,year_6_10yrs_11yrs_old_% obese,year_6_10yrs_11yrs_old_Number measured,year_6_10yrs_11yrs_old_Number obese
E02000001,0.1111111111111111,81,9,0.23214285714285715,56,13
E02000002,0.13370473537604458,359,48,0.24015748031496062,254,61
E02000003,0.12219451371571072,401,49,0.23961661341853036,313,75
E02000004,0.14423076923076922,208,30,0.21014492753623187,138,29
E02000005,0.11157894736842106,475,53,0.24242424242424243,363,88
E02000007,0.16135458167330677,502,81,0.25675675675675674,370,95
E02000008,0.1385083713850837,657,91,0.27315914489311166,421,115
E02000009,0.13147410358565736,502,66,0.2988505747126437,348,104
E02000010,0.099609375,512,51,0.2507042253521127,355,89
E02000011,0.1152542372881356,295,34,0.251063829787234,235,59
E02000012,0.11085450346420324,433,48,0.2540106951871658,374,95
E02000013,0.12095032397408208,463,56,0.2344632768361582,354,83
E02000014,0.16666666666666666,492,82,0.2478386167146974,347,86
E02000015,0.13272311212814644,437,58,0.2682926829268293,287,77
E02000016,0.1440501043841336,479,69,0.23986486486486486,296,71
E02000017,0.10824742268041238,388,42,0.24734982332155478,283,70
E02000018,0.12284069097888675,521,64,0.26558265582655827,369,98
E02000019,0.14960629921259844,508,76,0.2713864306784661,339,92
E02000020,0.1440329218106996,486,70,0.26535626535626533,407,108
E02000021,0.17708333333333334,480,85,0.33220338983050846,295,98
E02000022,0.1716171617161716,606,104,0.2962962962962963,378,112
E02000023,0.15680473372781065,338,53,0.2730496453900709,282,77
E02000024,0.04672897196261682,321,15,0.125,280,35
E02000025,0.09090909090909091,231,21,0.24561403508771928,171,42
E02000026,0.10952380952380952,210,23,0.18497109826589594,173,32
E02000027,0.08408408408408409,333,28,0.18947368421052632,285,54
E02000028,0.06842105263157895,190,13,0.1610738255033557,149,24
E02000029,0.08708708708708708,333,29,0.23043478260869565,230,53
E02000030,0.06077348066298342,181,11,0.21739130434782608,184,40
E02000031,0.1116751269035533,197,22,0.19875776397515527,161,32
E02000032,0.09053497942386832,243,22,0.1362126245847176,301,41
E02000033,0.12274368231046931,277,34,0.19771863117870722,263,52
E02000034,0.06756756756756757,296,20,0.1875,224,42
E02000035,0.10176991150442478,226,23,0.189873417721519,158,30
E02000036,0.1284153005464481,366,47,0.23492063492063492,315,74
E02000037,0.10344827586206896,261,27,0.14551083591331268,323,47
E02000038,0.11313868613138686,274,31,0.18220338983050846,236,43
E02000039,0.08108108108108109,148,12,0.18309859154929578,142,26
E02000040,0.12903225806451613,248,32,0.16908212560386474,207,35
E02000041,0.108,250,27,0.2032520325203252,246,50
E02000042,0.10377358490566038,318,33,0.18220338983050846,236,43
E02000043,0.05190311418685121,289,15,0.12105263157894737,190,23
E02000044,0.1282051282051282,312,40,0.21138211382113822,246,52
E02000045,0.10893854748603352,358,39,0.21212121212121213,330,70
E02000046,0.06532663316582915,199,13,0.13380281690140844,142,19
E02000047,0.1197339246119734,451,54,0.2512690355329949,394,99
E02000048,0.0851063829787234,282,24,0.14342629482071714,251,36
E02000049,0.1353211009174312,436,59,0.28405797101449276,345,98
E02000050,0.09243697478991597,357,33,0.2,300,60
E02000051,0.0898876404494382,178,16,0.13114754098360656,183,24
E02000052,0.06529209621993128,291,19,0.16748768472906403,203,34
E02000053,0.10967741935483871,310,34,0.23737373737373738,198,47
E02000054,0.09444444444444444,180,17,0.22857142857142856,175,40
E02000055,0.057692307692307696,312,18,0.17180616740088106,227,39
E02000056,0.05913978494623656,186,11,0.11267605633802817,142,16
E02000057,0.07951070336391437,327,26,0.15384615384615385,208,32
E02000058,0.057692307692307696,312,18,0.14847161572052403,229,34
E02000059,0.1,300,30,0.18699186991869918,246,46
E02000060,0.08719346049046321,367,32,0.14743589743589744,312,46
E02000061,0.08620689655172414,116,10,0.0851063829787234,94,8
E02000062,0.12195121951219512,205,25,0.19895287958115182,191,38
E02000063,0.11961722488038277,209,25,0.1907514450867052,173,33
E02000064,0.15263157894736842,190,29,0.18032786885245902,122,22
E02000065,0.1797752808988764,534,96,0.2756756756756757,370,102
E02000066,0.13346228239845262,517,69,0.26520681265206814,411,109
E02000067,0.11312217194570136,442,50,0.26605504587155965,327,87
E02000068,0.1346153846153846,416,56,0.2902097902097902,286,83
E02000069,0.1324200913242009,219,29,0.34065934065934067,182,62
E02000070,0.16216216216216217,259,42,0.22317596566523606,233,52
E02000071,0.0944055944055944,286,27,0.2491349480968858,289,72
E02000072,0.15097159940209268,669,101,0.23093681917211328,459,106
E02000073,0.0938337801608579,373,35,0.23134328358208955,402,93
E02000074,0.1032258064516129,310,32,0.28205128205128205,273,77
E02000075,0.06060606060606061,264,16,0.19047619047619047,231,44
E02000077,0.09712230215827339,278,27,0.22972972972972974,296,68
E02000078,0.09019607843137255,255,23,0.21774193548387097,248,54
E02000079,0.09811320754716982,265,26,0.12690355329949238,197,25
E02000080,0.12218649517684887,311,38,0.2565789473684211,304,78
E02000081,0.10227272727272728,264,27,0.273542600896861,223,61
E02000082,0.08771929824561403,285,25,0.22142857142857142,280,62
E02000083,0.10327455919395466,397,41,0.18404907975460122,326,60
E02000084,0.09302325581395349,344,32,0.155893536121673,263,41
E02000085,0.12142857142857143,280,34,0.19696969696969696,198,39
E02000086,0.07555555555555556,225,17,0.20465116279069767,215,44
E02000087,0.08962264150943396,212,19,0.14349775784753363,223,32
E02000088,0.1,250,25,0.20869565217391303,115,24
E02000089,0.08196721311475409,244,20,0.18007662835249041,261,47
E02000090,0.10843373493975904,249,27,0.15789473684210525,152,24
E02000091,0.09701492537313433,268,26,0.2081447963800905,221,46
E02000092,0.16666666666666666,264,44,0.28217821782178215,202,57
E02000093,0.09749303621169916,359,35,0.20723684210526316,304,63
E02000094,0.12312312312312312,333,41,0.2357142857142857,280,66
E02000095,0.08408408408408409,333,28,0.23214285714285715,280,65
E02000096,0.043478260869565216,184,8,0.1853932584269663,178,33
E02000097,0.09152542372881356,295,27,0.22972972972972974,296,68
E02000098,0.09523809523809523,252,24,0.25,260,65
E02000099,0.13761467889908258,327,45,0.23648648648648649,296,70
E02000100,0.10407239819004525,221,23,0.21524663677130046,223,48
E02000101,0.112565445026178,382,43,0.26223776223776224,286,75
E02000102,0.14488636363636365,352,51,0.21652421652421652,351,76
E02000103,0.13595166163141995,331,45,0.21921921921921922,333,73
E02000104,0.11616161616161616,198,23,0.2413793103448276,174,42
E02000105,0.11400651465798045,307,35,0.23628691983122363,237,56
E02000106,0.14425427872860636,409,59,0.30434782608695654,345,105
E02000107,0.12302839116719243,317,39,0.1981981981981982,222,44
E02000108,0.1072961373390558,233,25,0.24186046511627907,215,52
E02000109,0.12571428571428572,350,44,0.2746478873239437,284,78
E02000110,0.14646464646464646,198,29,0.23333333333333334,180,42
E02000111,0.07772020725388601,386,30,0.22039473684210525,304,67
E02000112,0.1393188854489164,323,45,0.25830258302583026,271,70
E02000113,0.18722466960352424,454,85,0.27403846153846156,416,114
E02000114,0.12686567164179105,268,34,0.27751196172248804,209,58
E02000115,0.13157894736842105,190,25,0.2900763358778626,131,38
E02000116,0.1550632911392405,316,49,0.24,275,66
E02000117,0.16485507246376813,552,91,0.28270042194092826,474,134
E02000118,0.08985507246376812,345,31,0.19375,320,62
E02000119,0.14794520547945206,365,54,0.25308641975308643,324,82
E02000120,0.07450980392156863,255,19,0.2054794520547945,146,30
E02000121,0.08235294117647059,340,28,0.18412698412698414,315,58
E02000122,0.085,200,17,0.20418848167539266,191,39
E02000123,0.12982998454404945,647,84,0.310546875,512,159
E02000124,0.08372093023255814,215,18,0.1782178217821782,202,36
E02000125,0.12275449101796407,334,41,0.18218623481781376,247,45
E02000126,0.1601423487544484,281,45,0.2833333333333333,300,85
E02000127,0.12228260869565218,368,45,0.23270440251572327,318,74
E02000128,0.06405693950177936,281,18,0.14864864864864866,222,33
E02000130,0.06692913385826772,254,17,0.2107843137254902,204,43
E02000131,0.06228373702422145,289,18,0.24324324324324326,185,45
E02000132,0.10810810810810811,222,24,0.16071428571428573,112,18
E02000133,0.05581395348837209,215,12,0.13548387096774195,155,21
E02000134,0.07038123167155426,341,24,0.12105263157894737,190,23
E02000135,0.1564102564102564,390,61,0.27884615384615385,312,87
E02000136,0.09859154929577464,142,14,0.15789473684210525,133,21
E02000137,0.057971014492753624,207,12,0.1271186440677966,118,15
E02000138,0.06857142857142857,175,12,0.11214953271028037,107,12
E02000139,0.058394160583941604,274,16,0.14705882352941177,170,25
E02000140,0.10136986301369863,365,37,0.21036585365853658,328,69
E02000141,0.09448818897637795,254,24,0.21978021978021978,182,40
E02000142,0.06227106227106227,273,17,0.1145374449339207,227,26
E02000144,0.05319148936170213,282,15,0.18579234972677597,183,34
E02000145,0.08536585365853659,410,35,0.24333333333333335,300,73
E02000146,0.06857142857142857,350,24,0.17903930131004367,229,41
E02000147,0.037037037037037035,216,8,0.11068702290076336,262,29
E02000148,0.0782122905027933,179,14,0.10909090909090909,165,18
E02000149,0.06752411575562701,311,21,0.19305019305019305,259,50
E02000150,0.047619047619047616,252,12,0.13804713804713806,297,41
E02000151,0.05964912280701754,285,17,0.0915032679738562,153,14
E02000152,0.11538461538461539,260,30,0.14583333333333334,240,35
E02000153,0.07342657342657342,286,21,0.10932475884244373,311,34
E02000154,0.06854838709677419,248,17,0.11224489795918367,196,22
E02000155,0.1069182389937107,159,17,0.18888888888888888,180,34
E02000156,0.06923076923076923,390,27,0.13387978142076504,366,49
E02000157,0.04054054054054054,222,9,0.13309352517985612,278,37
E02000158,0.0945945945945946,296,28,0.20973782771535582,267,56
E02000159,0.0963855421686747,166,16,0.18719211822660098,203,38
E02000160,0.0784313725490196,255,20,0.10526315789473684,304,32
E02000161,0.04983388704318937,301,15,0.11231884057971014,276,31
E02000162,0.05855855855855856,222,13,0.18095238095238095,210,38
E02000163,0.03389830508474576,236,8,0.12217194570135746,221,27
E02000165,0.08727272727272728,275,24,0.13191489361702127,235,31
E02000166,0.055865921787709494,179,10,0.1524390243902439,164,25
E02000167,s,95,s,s,53,s
E02000168,0.0546218487394958,238,13,0.14035087719298245,171,24
E02000169,s,88,s,s,42,s
E02000170,s,144,s,0.1262135922330097,103,13
E02000171,0.08092485549132948,173,14,0.19594594594594594,148,29
E02000172,0.11041009463722397,317,35,0.258160237388724,337,87
E02000173,0.06,100,6,s,55,s
E02000174,0.08878504672897196,214,19,0.19658119658119658,234,46
E02000175,0.06321839080459771,174,11,0.18110236220472442,127,23
E02000176,s,44,s,s,28,s
E02000177,0.136,250,34,0.2529182879377432,257,65
E02000178,0.11330049261083744,203,23,0.2485207100591716,169,42
E02000179,0.10067114093959731,149,15,0.18181818181818182,154,28
E02000180,0.06666666666666667,195,13,0.20930232558139536,172,36
E02000181,0.15384615384615385,117,18,0.2087912087912088,91,19
E02000182,0.12,125,15,0.20588235294117646,102,21
E02000183,0.128,125,16,0.12605042016806722,119,15
E02000184,0.09205020920502092,239,22,0.24,225,54
E02000185,0.12040133779264214,299,36,0.22088353413654618,249,55
E02000186,0.10091743119266056,109,11,0.11764705882352941,85,10
E02000187,0.1411042944785276,326,46,0.25396825396825395,315,80
E02000188,0.13537117903930132,229,31,0.2900763358778626,262,76
E02000189,0.13157894736842105,114,15,0.23333333333333334,120,28
E02000190,0.0625,112,7,0.21739130434782608,115,25
E02000191,0.1896551724137931,58,11,s,46,s
E02000192,0.06770833333333333,192,13,0.23595505617977527,178,42
E02000193,0.1388888888888889,72,10,0.2878787878787879,66,19
E02000194,0.1125,320,36,0.22459893048128343,187,42
E02000195,0.08791208791208792,273,24,0.19591836734693877,245,48
E02000196,0.095,200,19,0.28110599078341014,217,61
E02000197,0.13450292397660818,342,46,0.2152777777777778,288,62
E02000198,0.12839506172839507,405,52,0.2953020134228188,298,88
E02000199,0.1366906474820144,278,38,0.27755102040816326,245,68
E02000200,0.11195928753180662,393,44,0.25092250922509224,271,68
E02000201,0.11751662971175167,451,53,0.22658610271903323,331,75
E02000202,0.15204678362573099,342,52,0.237012987012987,308,73
E02000203,0.12211221122112212,303,37,0.27927927927927926,222,62
E02000204,0.1309192200557103,359,47,0.2724358974358974,312,85
E02000206,0.12751677852348994,447,57,0.26153846153846155,325,85
E02000207,0.14338235294117646,272,39,0.27007299270072993,274,74
E02000208,0.14056224899598393,498,70,0.23511904761904762,336,79
E02000209,0.11369509043927649,387,44,0.22562674094707522,359,81
E02000210,0.08035714285714286,336,27,0.22692307692307692,260,59
E02000211,0.07476635514018691,214,16,0.14948453608247422,194,29
E02000212,0.10336538461538461,416,43,0.2782874617737003,327,91
E02000213,0.15,420,63,0.2656826568265683,271,72
E02000214,0.08620689655172414,174,15,0.17543859649122806,171,30
E02000215,0.1238390092879257,323,40,0.2147239263803681,163,35
E02000216,0.0967741935483871,217,21,0.211864406779661,118,25
E02000217,0.11586901763224182,397,46,0.2209737827715356,267,59
E02000218,0.10437710437710437,297,31,0.23529411764705882,255,60
E02000219,0.08843537414965986,147,13,0.21518987341772153,158,34
E02000220,0.10793650793650794,315,34,0.22,150,33
E02000221,0.10427807486631016,374,39,0.20597014925373133,335,69
E02000222,0.09689922480620156,258,25,0.16326530612244897,147,24
E02000223,0.13893653516295026,583,81,0.23694779116465864,498,118
E02000224,0.07446808510638298,282,21,0.2122905027932961,179,38
E02000225,0.10599078341013825,217,23,0.27155172413793105,232,63
E02000226,0.09352517985611511,139,13,0.17880794701986755,151,27
E02000227,0.10610079575596817,377,40,0.1540785498489426,331,51
E02000228,0.057971014492753624,207,12,0.14444444444444443,180,26
E02000229,0.12171052631578948,304,37,0.2926829268292683,246,72
E02000230,0.0735930735930736,231,17,0.14468085106382977,235,34
E02000231,0.1079136690647482,139,15,0.16352201257861634,159,26
E02000232,0.0949367088607595,158,15,0.12626262626262627,198,25
E02000233,0.05737704918032787,244,14,0.09523809523809523,189,18
E02000234,0.07011070110701106,271,19,0.21982758620689655,232,51
E02000235,0.06842105263157895,190,13,0.15706806282722513,191,30
E02000236,0.0846774193548387,248,21,0.2054263565891473,258,53
E02000237,0.09130434782608696,230,21,0.16355140186915887,214,35
E02000238,0.08986175115207373,434,39,0.2471590909090909,352,87
E02000239,0.09206349206349207,315,29,0.2620689655172414,290,76
E02000240,0.11553030303030302,528,61,0.2494172494172494,429,107
E02000241,0.12156862745098039,255,31,0.26842105263157895,190,51
E02000242,0.14084507042253522,284,40,0.26609442060085836,233,62
E02000243,0.08426966292134831,356,30,0.21071428571428572,280,59
E02000244,0.10034602076124567,289,29,0.22727272727272727,220,50
E02000245,0.1345707656612529,431,58,0.23322683706070288,313,73
E02000246,0.13768115942028986,414,57,0.20498614958448755,361,74
E02000247,0.14545454545454545,550,80,0.25252525252525254,396,100
E02000248,0.07960199004975124,201,16,0.22929936305732485,157,36
E02000249,0.11297071129707113,239,27,0.21739130434782608,161,35
E02000250,0.06611570247933884,242,16,0.10909090909090909,165,18
E02000251,0.1624203821656051,314,51,0.256140350877193,285,73
E02000252,0.1465798045602606,307,45,0.23478260869565218,230,54
E02000253,0.12441314553990611,426,53,0.21683673469387754,392,85
E02000254,0.11924119241192412,369,44,0.2323529411764706,340,79
E02000255,0.1235632183908046,348,43,0.17985611510791366,278,50
E02000256,s,146,s,0.16083916083916083,143,23
E02000257,0.06,250,15,0.1590909090909091,132,21
E02000258,0.12,200,24,0.16981132075471697,159,27
E02000259,0.08368200836820083,239,20,0.1791044776119403,201,36
E02000260,0.11420612813370473,359,41,0.21554770318021202,283,61
E02000261,0.08908045977011494,348,31,0.2751677852348993,298,82
E02000262,0.09931506849315068,292,29,0.20535714285714285,224,46
E02000263,0.14766355140186915,535,79,0.23958333333333334,480,115
E02000264,0.12244897959183673,147,18,0.2564102564102564,117,30
E02000265,0.11398963730569948,386,44,0.26804123711340205,291,78
E02000266,0.1443661971830986,568,82,0.23115577889447236,597,138
E02000267,0.08943089430894309,369,33,0.233502538071066,197,46
E02000268,0.09047619047619047,210,19,0.18562874251497005,167,31
E02000269,0.05647840531561462,301,17,0.10734463276836158,177,19
E02000270,0.11924119241192412,369,44,0.27335640138408307,289,79
E02000271,s,115,s,0.13846153846153847,65,9
E02000272,0.0898876404494382,267,24,0.11764705882352941,204,24
E02000274,0.14969135802469136,648,97,0.2438095238095238,525,128
E02000275,0.10661764705882353,272,29,0.228310502283105,219,50
E02000276,0.041237113402061855,291,12,0.16417910447761194,134,22
E02000277,0.17959183673469387,245,44,0.26422764227642276,246,65
E02000278,0.1482758620689655,290,43,0.26334519572953735,281,74
E02000279,0.1494057724957555,589,88,0.2647058823529412,510,135
E02000280,0.09872611464968153,314,31,0.22761194029850745,268,61
E02000281,0.1414141414141414,396,56,0.2491103202846975,281,70
E02000282,0.12871287128712872,404,52,0.28083989501312334,381,107
E02000283,0.1721311475409836,366,63,0.27371273712737126,369,101
E02000284,0.06811145510835913,323,22,0.22072072072072071,222,49
E02000285,0.1477832512315271,203,30,0.20100502512562815,199,40
E02000286,0.08585858585858586,198,17,0.147239263803681,163,24
E02000287,0.08843537414965986,147,13,0.22608695652173913,115,26
E02000288,0.1452991452991453,585,85,0.24153498871331827,443,107
E02000289,0.09230769230769231,195,18,0.20574162679425836,209,43
E02000290,0.14588859416445624,377,55,0.3118279569892473,279,87
E02000291,0.1408839779005525,362,51,0.2554112554112554,231,59
E02000292,0.11805555555555555,288,34,0.23666666666666666,300,71
E02000293,0.04093567251461988,171,7,0.13836477987421383,159,22
E02000294,0.1523545706371191,361,55,0.2519893899204244,377,95
E02000295,0.09785932721712538,327,32,0.18723404255319148,235,44
E02000296,0.10149253731343283,335,34,0.1832797427652733,311,57
E02000297,0.12403100775193798,258,32,0.17410714285714285,224,39
E02000298,0.04291845493562232,233,10,0.14634146341463414,164,24
E02000299,0.12525667351129363,487,61,0.24641148325358853,418,103
E02000300,0.13774104683195593,363,50,0.24752475247524752,303,75
E02000301,0.1306930693069307,505,66,0.27539503386004516,443,122
E02000302,0.10726643598615918,289,31,0.2608695652173913,207,54
E02000303,0.16045845272206305,349,56,0.2845744680851064,376,107
E02000304,0.08085106382978724,235,19,0.165,200,33
E02000305,0.06944444444444445,288,20,0.1658291457286432,199,33
E02000306,0.1879049676025918,463,87,0.3161764705882353,408,129
E02000307,0.15384615384615385,390,60,0.25824175824175827,364,94
E02000308,0.1111111111111111,288,32,0.21621621621621623,222,48
E02000309,0.14444444444444443,540,78,0.25552825552825553,407,104
E02000311,0.12041884816753927,382,46,0.2768729641693811,307,85
E02000312,0.0695364238410596,302,21,0.21266968325791855,221,47
E02000313,0.16666666666666666,408,68,0.2689393939393939,264,71
E02000314,0.16932907348242812,939,159,0.2984014209591474,563,168
E02000315,0.17190388170055454,541,93,0.28921568627450983,408,118
E02000316,0.16576086956521738,368,61,0.2229965156794425,287,64
E02000317,0.1444954128440367,436,63,0.2577639751552795,322,83
E02000318,0.15254237288135594,413,63,0.24251497005988024,334,81
E02000319,0.12340425531914893,470,58,0.24271844660194175,309,75
E02000320,0.15759312320916904,349,55,0.28512396694214875,242,69
E02000321,0.16434540389972144,359,59,0.252,250,63
E02000323,0.15,560,84,0.2654639175257732,388,103
E02000324,0.13043478260869565,299,39,0.29365079365079366,252,74
E02000326,0.12658227848101267,316,40,0.22023809523809523,168,37
E02000327,0.12269938650306748,326,40,0.265625,256,68
E02000328,0.05,140,7,0.1926605504587156,109,21
E02000329,0.11864406779661017,236,28,0.24083769633507854,191,46
E02000331,0.13,300,39,0.25,228,57
E02000332,0.1357142857142857,280,38,0.21359223300970873,206,44
